abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.017917,-0.081490,-0.019762,-1.083688,1.086927,0.000000,0.000000,-0.001023,0.000838,-0.015283,-0.037432,-0.065040,-1.203309,1.205646,0.000000,0.000000,0.002383,-0.002347,0.018870
0.018333,-0.041346,0.060972,-1.716666,1.718246,0.000000,0.000000,-0.001012,0.000829,-0.015922,-0.077534,-0.105153,1.163825,1.171135,-0.373893,0.006341,0.002418,-0.002320,0.019092
0.018750,0.079087,-0.099859,-1.243770,1.250276,0.000000,0.000000,-0.001025,0.000863,-0.016451,-0.157612,0.095833,-0.253429,0.313451,0.000000,0.000000,0.002478,-0.002355,0.019194
0.019167,-0.081553,-0.140417,-0.927036,0.941150,0.000000,0.000000,-0.001011,0.000921,-0.016958,-0.157549,0.216381,1.320336,1.347193,-0.151773,-0.049591,0.002544,-0.002414,0.019482
0.019583,0.038816,-0.180720,-2.348175,2.355439,0.000000,0.000000,-0.001013,0.000974,-0.017761,-0.157549,-0.105068,-0.880856,0.900981,0.000000,0.000000,0.002595,-0.002409,0.019388
0.020000,-0.041536,0.101403,-1.243280,1.248100,0.000000,0.000000,-0.001004,0.000965,-0.018367,0.042393,0.135945,0.843824,0.855756,0.026511,-0.004681,0.002597,-0.002427,0.019653
0.020417,-0.001392,-0.099986,-1.401402,1.404965,0.000000,0.000000,-0.001017,0.001013,-0.018819,-0.037558,-0.185462,1.322281,1.335752,-0.105994,-0.283546,0.002618,-0.002378,0.019995
0.020833,0.239663,-0.381981,0.336472,0.562638,0.631807,-1.457900,-0.001075,0.001116,-0.018909,-0.197776,-0.105153,-1.196795,1.217575,0.000000,0.000000,0.002670,-0.002331,0.019737
0.021250,-0.121951,0.141578,-1.244260,1.258212,0.000000,0.000000,-0.001069,0.001105,-0.019285,0.082306,-0.065040,-0.254732,0.275487,0.000000,0.000000,0.002653,-0.002296,0.019620
0.021667,0.159502,-0.019762,-0.768913,0.785531,0.000000,0.000000,-0.001105,0.001099,-0.019627,0.122408,-0.145307,0.531323,0.564272,-0.090144,-0.394517,0.002607,-0.002252,0.019656
0.022083,-0.001202,0.021051,-0.612261,0.612624,0.000000,0.000000,-0.001124,0.001107,-0.019959,0.082495,0.015396,-1.356056,1.358650,0.000000,0.000000,0.002573,-0.002239,0.019342
0.022500,0.119421,-0.180338,-1.560995,1.575909,0.000000,0.000000,-0.001163,0.001171,-0.020544,0.042582,-0.105153,0.377463,0.394143,-0.382886,-1.003440,0.002569,-0.002198,0.019346
