Timestamp,Right_Knee_Angle,Left_Knee_Angle,Right_Hip_Angle,Left_Hip_Angle,Right_Ankle_Angle,Left_Ankle_Angle
5700,82.6705248,101.8263542,87.56552202,102.9564463,132.9519972,133.4352043
5733.333333,89.37997443,101.7460113,87.3236597,102.8876679,153.0229266,133.5155132
5766.666667,92.55238948,101.7135613,87.20540704,102.9301059,150.8582132,133.4729433
5800,85.14354518,101.6320684,87.92576989,102.9542724,134.4505362,133.4259365
5833.333333,79.67481568,101.5509198,88.71912343,103.1317224,129.6614783,133.3359899
5866.666667,78.82836153,101.6370323,89.50744065,103.3566341,128.6964228,133.3571818
5900,75.74711651,101.7486271,89.81659722,103.5389022,126.2642265,133.4839767
5933.333333,76.36003338,101.7583009,90.0114434,103.564365,126.060151,133.5611683
5966.666667,74.10572383,101.7729289,89.96973135,103.5142915,124.2401388,133.7097675
6000,70.8009277,101.7294929,90.06017542,103.5326128,122.1688834,133.6913709
6033.333333,71.51423717,101.7064528,90.14213398,103.5333766,122.0206772,133.6897161
6066.666667,73.08053087,101.6294999,90.39175248,103.5292308,122.5698925,133.7635699
6100,74.33739054,101.5346922,90.37594707,103.4462098,124.2046604,133.808692
6133.333333,76.76973411,101.0393748,90.46210326,103.0313686,123.1051578,133.798508
6166.666667,92.19953675,101.0018092,89.53698699,102.9987451,145.662408,133.7824907
6200,94.67258934,101.0150368,88.84458886,103.0125716,143.9622051,133.9075323
6233.333333,92.75107315,101.1935073,88.46972295,103.0728542,149.2226859,134.2283332
6266.666667,82.98545305,101.397831,89.26963729,103.0764041,131.7873566,134.5345503
6300,91.77017537,101.9313294,89.75355833,103.4903433,152.4886701,134.723211
6333.333333,81.20104375,102.6721044,89.5507027,103.8636857,130.2391846,134.3035436
6366.666667,77.55977095,104.132239,90.49754482,105.3711488,122.8136843,134.2973341
6400,80.26174873,107.084847,94.38135565,108.6642898,123.4195737,134.2047421
6433.333333,91.47540946,109.5416388,96.81307575,111.2219834,146.1812947,134.1894428
6466.666667,105.5212807,115.647795,102.6145323,117.3798863,126.3598628,133.786258
6500,106.4182472,118.6168832,106.2965981,120.7931064,120.0789178,132.7587623
6533.333333,106.1346281,122.8599324,109.0690366,124.8729935,117.033208,133.2246592
6566.666667,112.5236812,128.4960506,113.9598956,130.4623841,121.234524,133.6869609
6600,116.5164977,130.1510741,118.4186848,132.3005167,122.0560177,133.473043
6633.333333,117.5614316,134.3130703,123.2306249,136.2442685,120.0282249,134.1403839
6666.666667,124.1740811,137.1070917,128.0448397,139.0929523,125.3071521,133.5272939
6700,130.4085982,138.8727614,132.4137253,141.3338969,130.9770098,133.2312904
6733.333333,135.9822282,142.3156455,137.2947063,145.0269704,132.6755151,133.5536591
6766.666667,131.5879895,144.1855826,139.7542632,147.2271059,133.6796071,133.5029334
6800,148.0288314,146.2779363,146.6724555,149.4343618,146.5789083,134.0450994
6833.333333,155.6355457,150.2758392,152.6137162,153.090091,140.5668785,134.3659102
6866.666667,159.443071,153.3288576,154.8780887,154.6610786,139.1672839,135.3612585
6900,158.6820479,155.3894655,157.3320334,155.6973007,125.5585966,135.9924478
6933.333333,158.4457468,159.4649972,158.2783121,158.5133658,120.0496337,137.0581495
6966.666667,161.0102451,163.1040608,161.0191607,161.3064849,125.7568525,138.1686869
7000,165.5062312,166.5540451,164.503464,164.454743,127.8322301,138.7252984
7033.333333,167.272036,168.3956876,165.58461,165.5633317,129.7008369,139.3848784
7066.666667,168.2627419,170.0603328,166.1800429,166.1455256,127.4426817,139.852924
7100,170.5129192,172.1089562,168.4951911,167.7424928,127.7565964,140.1074854
7133.333333,173.7912756,173.3077116,170.204507,168.5456885,126.0236865,140.8891238
7166.666667,175.293871,174.8954823,171.4944136,169.6813093,126.7344554,141.6015341
7200,175.8576237,176.3245958,172.0785692,170.9848007,126.9608587,141.8849997
7233.333333,176.5016843,176.7774889,172.9211809,171.5828022,124.9363521,142.5340875
7266.666667,176.3367034,176.9509633,173.3375211,172.163846,121.4562965,142.6478256
7300,177.0149178,177.9842289,174.9958021,173.4413565,121.8610347,143.5078491
7333.333333,177.4020379,179.0322792,175.6240681,174.7594827,120.9007284,143.3698798
7366.666667,177.9001137,179.6066237,176.2239305,175.4298767,119.9668456,143.4533731
7400,178.2254301,179.6188136,176.6873208,175.9333282,119.5932461,142.4919431
7433.333333,177.9890446,179.4076773,176.7689619,175.7956305,117.3574593,142.1812076
7466.666667,178.4619924,179.4361246,177.1389765,176.0075219,115.9959628,142.0943084
7500,178.7711431,179.455943,177.2418007,176.0696982,113.9488156,142.0065913
7533.333333,178.7380141,179.5018059,177.2620783,176.2683552,112.7911465,141.5370541
7566.666667,178.7818642,179.5086749,177.3466665,176.1482189,113.0804326,141.7846856
7600,179.0531272,179.8293323,177.3856427,176.3484348,112.6217488,142.0303515
7633.333333,179.2004834,179.7212952,177.5273522,176.131717,112.4084685,142.4284742
7666.666667,178.841491,179.7625911,177.6029352,176.1706288,113.4338529,142.5697397
7700,178.1750428,179.9904325,177.6962803,176.4618893,117.0112435,142.726229
7733.333333,178.0083225,179.988277,177.744117,176.4992071,118.004188,142.7347314
7766.666667,179.2908995,179.9499261,177.6861408,176.516603,124.7197542,142.5771806
7800,179.6362222,179.8514839,177.6072775,176.0908557,128.6968927,142.6673326
7833.333333,178.9917278,179.7942166,177.5553584,176.019277,127.0993522,142.6479054
7866.666667,178.8503648,179.6676407,177.6635421,175.9924611,126.1731272,142.5590137
7900,178.7857288,179.5613488,177.6985173,176.0153411,125.9900033,142.6147424
7933.333333,178.7378842,179.4260186,177.7118942,176.0062666,126.1207647,142.7024304
7966.666667,178.7686212,179.524359,177.9094126,176.3429254,125.9075984,142.7680745
8000,179.0012541,179.7672471,178.3008146,176.76518,125.6318299,142.2371631
8033.333333,178.8764633,179.9595228,178.3658705,177.0251204,125.2937816,142.1986821
8066.666667,178.8561581,179.9921649,178.4966329,177.1088977,123.7417106,142.3088488
8100,178.7367469,179.9943318,178.489211,177.0896894,123.6888558,143.3252807
8133.333333,178.2901631,179.9889243,178.3463512,177.0968965,125.340266,143.5660345
8166.666667,178.9271271,179.878469,178.0958541,177.1874989,130.8602354,143.4919843
8200,178.7568502,179.7741629,177.6203282,177.2352946,132.8360191,143.4397106
8233.333333,177.687799,179.6593193,177.5033299,177.4406517,136.538475,143.5146131
8266.666667,178.6661754,179.645662,177.3971317,177.3998837,137.111717,143.5543602
8300,177.8867549,179.7686074,177.3119555,177.2218446,133.8083539,144.607836
8333.333333,177.3301784,179.9759534,177.0095779,176.8025816,128.0384707,144.7421272
8366.666667,177.2612421,179.923339,177.0487467,176.7322729,125.8773338,144.7255731
8400,178.3177766,179.7433801,177.4878225,176.6359618,123.8806525,144.8336343
8433.333333,179.2231953,179.6015854,177.8570285,176.5479867,121.5785622,144.8665716
8466.666667,179.858325,179.4762768,177.8774368,176.5250881,119.1007057,144.9174105
8500,179.2414177,179.3379538,177.9317007,176.3615537,116.0803066,144.8698135
8533.333333,178.9557789,179.2475737,177.7556805,176.0892463,115.6897159,144.7991
8566.666667,178.9185533,179.11491,177.5769443,175.9370052,114.9467043,144.8054715
8600,178.8281861,178.9521601,177.5393857,175.9082706,114.2499233,144.884598
8633.333333,178.8299806,178.8513754,177.4194343,175.7962374,114.0548288,144.9052592
8666.666667,178.9386453,178.7920347,177.2177506,175.6769771,113.7293003,144.9098468
8700,179.1293019,178.7868619,176.93955,175.5545723,113.7073437,144.9030728
8733.333333,179.4868142,178.8245078,176.4208649,175.4262496,113.5323266,145.0751104
8766.666667,179.885207,178.8719794,175.9983065,175.2279213,113.4325298,145.074936
8800,179.6936614,178.9070463,175.6436348,175.1088453,113.5241374,144.7071253
8833.333333,179.4289733,178.9151205,175.246814,175.0754237,113.7879041,144.1961637
8866.666667,179.180447,178.949231,174.942686,175.0065295,113.4058957,143.8630116
8900,178.9560092,179.0032839,174.7510711,174.9483642,113.3614162,143.2514869
8933.333333,178.7238601,179.0388717,174.7560716,174.9292405,112.3455302,142.7444033
8966.666667,178.5487356,179.0897635,174.6421881,174.89591,113.2324437,142.7010154
9000,178.1994327,179.2162377,174.4568324,174.6533653,116.2658855,142.7521521
9033.333333,178.1477981,179.3994925,174.3306891,174.3202157,117.186487,142.8367323
9066.666667,178.2107324,179.4384962,174.3307126,174.3166581,116.3042676,142.8386475
9100,179.6155829,179.4324977,174.3128431,174.3827328,120.4963309,142.7832805
9133.333333,179.9091344,179.5775573,174.0615308,174.3663719,120.0637655,142.1093833
