abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.017500,1.140577,0.512421,184.529998,184.534234,0.032567,0.162306,-0.225084,0.002714,23.933339,-1.059536,-0.748017,382.465660,382.467859,0.022477,-0.107077,0.068973,0.082464,49.562457
0.017917,1.341298,0.511912,185.478238,185.483794,0.032704,0.159092,-0.225604,0.002506,24.010479,-1.059536,-0.627553,382.939514,382.941494,0.022538,-0.107679,0.069415,0.082737,49.721993
0.018333,0.979810,0.431560,184.372366,184.375475,0.033180,0.162166,-0.226054,0.002315,24.087290,-1.059473,-0.667835,383.101555,383.103602,0.021921,-0.108064,0.069845,0.083018,49.881651
0.018750,1.220866,0.512039,183.106896,183.111682,0.031530,0.163269,-0.226535,0.002113,24.163683,-0.899317,-0.748102,383.724930,383.726713,0.022381,-0.106442,0.070250,0.083332,50.041450
0.019167,1.060099,0.431560,183.267469,183.271044,0.031004,0.164658,-0.227016,0.001922,24.240034,-1.179526,-0.868481,383.099457,383.102257,0.022109,-0.107463,0.070719,0.083691,50.201063
0.019583,1.461730,0.512548,183.265997,183.272543,0.032700,0.163425,-0.227583,0.001737,24.316406,-1.139487,-0.948875,382.308998,382.311874,0.021892,-0.106662,0.071205,0.084061,50.360435
0.020000,1.261010,0.190632,183.425102,183.429536,0.032548,0.163677,-0.228128,0.001613,24.392855,-1.259352,-0.667665,382.619843,382.622498,0.022584,-0.106323,0.071708,0.084365,50.519948
0.020417,1.341171,0.512039,183.898485,183.904089,0.032261,0.163465,-0.228653,0.001427,24.469490,-1.059473,-0.748144,384.202728,384.204917,0.021943,-0.107316,0.072171,0.084668,50.679714
0.020833,0.939539,0.431687,184.531466,184.534363,0.032982,0.163524,-0.229084,0.001239,24.546279,-1.179589,-0.707989,381.203110,381.205592,0.023091,-0.107433,0.072641,0.084985,50.838790
0.021250,1.100433,0.472118,183.739387,183.743288,0.032176,0.163919,-0.229540,0.001031,24.622892,-0.979647,-0.989072,381.681389,381.683928,0.022253,-0.107985,0.073077,0.085364,50.997879
0.021667,1.220739,0.673379,183.738897,183.744186,0.032502,0.165065,-0.230034,0.000778,24.699505,-1.179526,-0.788172,382.944412,382.947040,0.021862,-0.108234,0.073546,0.085692,51.157285
0.022083,1.140387,0.471863,184.530002,184.534129,0.032207,0.162917,-0.230518,0.000562,24.776283,-1.059787,-0.587313,381.995659,381.997580,0.022248,-0.107949,0.074004,0.085979,51.316549
0.022500,1.180721,0.552215,183.740367,183.744990,0.032513,0.165699,-0.231004,0.000343,24.852885,-1.179715,-0.988987,382.464340,382.467438,0.022840,-0.107045,0.074496,0.086355,51.475899
0.022917,1.140450,0.472118,183.583220,183.587370,0.031652,0.162555,-0.231488,0.000130,24.929356,-1.299579,-0.868608,382.784019,382.787211,0.022490,-0.107838,0.075021,0.086733,51.635381
0.023333,1.220675,0.633076,183.108860,183.114023,0.032616,0.163834,-0.231994,-0.000112,25.005794,-1.179526,-0.989115,382.940819,382.943913,0.022035,-0.107343,0.075531,0.087123,51.794961
0.023750,1.261073,0.471863,184.687137,184.692045,0.032684,0.163076,-0.232511,-0.000319,25.082583,-1.339555,-0.788256,383.413246,383.416396,0.022113,-0.107098,0.076056,0.087474,51.954629
0.024167,1.180531,0.471990,183.898486,183.902881,0.033026,0.164677,-0.233019,-0.000524,25.159196,-1.019497,-0.908805,382.623268,382.625706,0.021860,-0.106577,0.076512,0.087839,52.114089
0.024583,1.341361,0.592518,182.951225,182.957102,0.032792,0.163080,-0.233559,-0.000755,25.235535,-1.139487,-0.828284,382.311584,382.314180,0.022586,-0.108405,0.076964,0.088178,52.273439
0.025000,1.220992,0.471863,183.582242,183.586909,0.031269,0.161955,-0.234062,-0.000962,25.311962,-0.939545,-0.667665,382.783371,382.785106,0.021232,-0.106425,0.077375,0.088482,52.432911
0.025417,1.019828,0.512166,183.267962,183.271516,0.032826,0.163424,-0.234495,-0.001159,25.388346,-1.019560,-0.868650,382.946350,382.948693,0.021840,-0.108798,0.077808,0.088821,52.592416
0.025833,0.939539,0.310905,183.266985,183.269657,0.032484,0.166498,-0.234901,-0.001333,25.464740,-1.219439,-0.748102,382.307167,382.309844,0.022080,-0.106685,0.078278,0.089155,52.751832
0.026250,1.060289,0.753858,183.740855,183.745461,0.031824,0.166245,-0.235334,-0.001605,25.541288,-0.859593,-0.948875,383.415848,383.417985,0.022393,-0.108226,0.078683,0.089523,52.911457
0.026667,1.060035,0.592772,184.056612,184.060619,0.032854,0.162400,-0.235793,-0.001866,25.618044,-1.179715,-0.748144,382.623283,382.625833,0.022745,-0.107464,0.079149,0.089862,53.070971
0.027083,1.301217,0.632566,185.319139,185.324786,0.032205,0.161283,-0.236329,-0.002110,25.695095,-1.139487,-0.949044,383.096352,383.099222,0.022452,-0.107162,0.079633,0.090252,53.230584
0.027500,1.461921,0.391256,184.213264,184.219480,0.032532,0.163219,-0.236902,-0.002287,25.771983,-1.219439,-1.069466,383.408844,383.412275,0.022443,-0.106197,0.080135,0.090678,53.390304
0.027917,1.100243,0.351463,185.002894,185.006500,0.032314,0.164028,-0.237397,-0.002456,25.848903,-1.219565,-0.908805,383.249580,383.252598,0.022713,-0.106118,0.080640,0.091076,53.550003
0.028333,1.261010,0.632948,183.424124,183.429550,0.031462,0.165362,-0.237905,-0.002698,25.925450,-1.179400,-1.029185,383.252510,383.255707,0.022189,-0.106389,0.081115,0.091511,53.709725
0.028750,1.180848,0.592645,183.581753,183.586507,0.031640,0.163124,-0.238403,-0.002931,26.001942,-0.899632,-1.230127,383.733536,383.736562,0.021693,-0.108383,0.081551,0.092004,53.869558
0.029167,1.180848,0.351335,183.740365,183.744495,0.030711,0.162753,-0.238901,-0.003105,26.078534,-1.499522,-1.149776,383.412254,383.416911,0.021965,-0.106759,0.082126,0.092469,54.029292
0.029583,1.260883,0.511912,184.372852,184.377874,0.032023,0.160947,-0.239404,-0.003304,26.155246,-1.379594,-0.868650,382.783340,382.786812,0.021814,-0.107258,0.082715,0.092853,54.188949
0.030000,1.019954,0.471990,183.424609,183.428052,0.031532,0.163600,-0.239856,-0.003507,26.231761,-1.459546,-0.908763,384.514702,384.518546,0.021983,-0.106630,0.083312,0.093246,54.348933
0.030417,1.180721,0.512294,183.740366,183.744874,0.033238,0.162100,-0.240354,-0.003720,26.308341,-1.379531,-1.149818,382.935608,382.939819,0.022408,-0.106171,0.083864,0.093683,54.508600
0.030833,1.421777,0.552851,184.371876,184.378187,0.031616,0.162736,-0.240907,-0.003942,26.385042,-0.979458,-0.788214,382.940018,382.942081,0.022870,-0.107948,0.084317,0.094037,54.668224
